     ,subject,trial,fix_num,event_duration,leftrating,rightrating,rt     ,choice,roi,computed_rt,num_fixations,rev_fix_num,temp     ,corr_fix_duration
1603 ,17.0   ,81   ,3.0    ,100.0         ,3.0       ,5.0        ,1401.0 ,0.0   ,1.0,1414.0     ,3.0          ,1.0        ,308.0    ,100.0            
1604 ,17.0   ,82   ,1.0    ,558.0         ,3.0       ,3.0        ,957.0  ,1.0   ,1.0,957.0      ,2.0          ,2.0        ,373.38   ,558.0            
1605 ,17.0   ,82   ,2.0    ,199.0         ,3.0       ,3.0        ,957.0  ,1.0   ,2.0,957.0      ,2.0          ,1.0        ,545.48456,199.0            
1606 ,17.0   ,83   ,1.0    ,597.0         ,3.0       ,2.0        ,908.0  ,1.0   ,1.0,916.0      ,2.0          ,2.0        ,373.38   ,597.0            
1607 ,17.0   ,83   ,2.0    ,100.0         ,3.0       ,2.0        ,908.0  ,1.0   ,2.0,916.0      ,2.0          ,1.0        ,545.48456,100.0            
1608 ,17.0   ,84   ,1.0    ,379.0         ,4.0       ,0.0        ,991.0  ,1.0   ,1.0,996.0      ,2.0          ,2.0        ,373.38   ,379.0            
1609 ,17.0   ,84   ,2.0    ,399.0         ,4.0       ,0.0        ,991.0  ,1.0   ,2.0,996.0      ,2.0          ,1.0        ,545.48456,399.0            
1610 ,17.0   ,85   ,1.0    ,278.0         ,2.0       ,3.0        ,1133.0 ,1.0   ,1.0,1136.0     ,2.0          ,2.0        ,373.38   ,278.0            
1611 ,17.0   ,85   ,2.0    ,603.0         ,2.0       ,3.0        ,1133.0 ,1.0   ,2.0,1136.0     ,2.0          ,1.0        ,545.48456,603.0            
1612 ,17.0   ,86   ,1.0    ,558.0         ,5.0       ,2.0        ,1009.0 ,1.0   ,1.0,1016.0     ,2.0          ,2.0        ,373.38   ,558.0            
1613 ,17.0   ,86   ,2.0    ,239.0         ,5.0       ,2.0        ,1009.0 ,1.0   ,2.0,1016.0     ,2.0          ,1.0        ,545.48456,239.0            
1614 ,17.0   ,87   ,1.0    ,357.0         ,5.0       ,3.0        ,1357.0 ,1.0   ,1.0,1375.0     ,2.0          ,2.0        ,373.38   ,357.0            
1615 ,17.0   ,87   ,2.0    ,798.0         ,5.0       ,3.0        ,1357.0 ,1.0   ,2.0,1375.0     ,2.0          ,1.0        ,545.48456,798.0            
1616 ,17.0   ,88   ,1.0    ,338.0         ,2.0       ,4.0        ,1676.0 ,0.0   ,1.0,1693.0     ,4.0          ,4.0        ,373.38   ,338.0            
1617 ,17.0   ,88   ,2.0    ,178.0         ,2.0       ,4.0        ,1676.0 ,0.0   ,2.0,1693.0     ,4.0          ,3.0        ,545.48456,178.0            
1618 ,17.0   ,88   ,3.0    ,678.0         ,2.0       ,4.0        ,1676.0 ,0.0   ,1.0,1693.0     ,4.0          ,2.0        ,308.0    ,678.0            
1619 ,17.0   ,88   ,4.0    ,259.0         ,2.0       ,4.0        ,1676.0 ,0.0   ,2.0,1693.0     ,4.0          ,1.0        ,124.75   ,259.0            
1620 ,17.0   ,89   ,1.0    ,518.0         ,5.0       ,2.0        ,803.0  ,1.0   ,1.0,815.0      ,1.0          ,1.0        ,373.38   ,518.0            
1621 ,17.0   ,90   ,1.0    ,518.0         ,2.0       ,0.0        ,3768.0 ,1.0   ,1.0,3786.0     ,4.0          ,4.0        ,373.38   ,518.0            
1622 ,17.0   ,90   ,2.0    ,1793.0        ,2.0       ,0.0        ,3768.0 ,1.0   ,2.0,3786.0     ,4.0          ,3.0        ,545.48456,1793.0           
1623 ,17.0   ,90   ,3.0    ,546.0         ,2.0       ,0.0        ,3768.0 ,1.0   ,1.0,3786.0     ,4.0          ,2.0        ,308.0    ,546.0            
1624 ,17.0   ,90   ,4.0    ,80.0          ,2.0       ,0.0        ,3768.0 ,1.0   ,2.0,3786.0     ,4.0          ,1.0        ,124.75   ,80.0             
1625 ,17.0   ,91   ,1.0    ,398.0         ,2.0       ,2.0        ,930.0  ,1.0   ,1.0,936.0      ,2.0          ,2.0        ,373.38   ,398.0            
1626 ,17.0   ,91   ,2.0    ,319.0         ,2.0       ,2.0        ,930.0  ,1.0   ,2.0,936.0      ,2.0          ,1.0        ,545.48456,319.0            
1627 ,17.0   ,92   ,1.0    ,319.0         ,0.0       ,1.0        ,801.0  ,0.0   ,1.0,817.0      ,2.0          ,2.0        ,373.38   ,319.0            
1628 ,17.0   ,92   ,2.0    ,299.0         ,0.0       ,1.0        ,801.0  ,0.0   ,2.0,817.0      ,2.0          ,1.0        ,545.48456,299.0            
1629 ,17.0   ,93   ,1.0    ,598.0         ,1.0       ,3.0        ,1041.0 ,0.0   ,1.0,1053.0     ,2.0          ,2.0        ,373.38   ,598.0            
1630 ,17.0   ,93   ,2.0    ,240.0         ,1.0       ,3.0        ,1041.0 ,0.0   ,2.0,1053.0     ,2.0          ,1.0        ,545.48456,240.0            
